word,format,ipa,arpa,arteme,ratio
ahleh,ipa,ɑl,AA L,əl,0.400
ailkborough,arpa,eɪkbɚoʊ,EY K B OW,əəkpəɹəə,0.364
ailkborough,ipa,eɪkbɚoʊ,EY K B OW,əəkpəɹəə,0.455
ailleurs,arpa,aɪɝz,AY ER Z,əəəɹs,0.375
ailleurs,ipa,aɪɝz,AY ER Z,əəəɹs,0.375
aitch,arpa,etʃ,CH,əəʃ,0.200
aitch,arpa,eɪtʃ,EY CH,əʃ,0.400
aitch,arteme,eɪtʃ,EY CH,əʃ,0.400
aitch,ipa,etʃ,CH,əəʃ,0.400
aitch,ipa,eɪtʃ,EY CH,əʃ,0.400
aites,ipa,aɪts,AY T S,əəs,0.400
allej,arpa,əl,L,əl,0.200
allej,arteme,əl,L,əl,0.400
allej,ipa,əl,L,əl,0.400
annette's,arteme,ʌnɛts,AH N EH T S,ənəs,0.444
annette's,ipa,ʌnɛts,AH N EH T S,ənəs,0.444
aoe,arpa,eɪ,EY,əə,0.333
aoe,ipa,eɪ,EY,əə,0.333
aoo,arpa,eɪ,EY,əə,0.333
aoo,ipa,eɪ,EY,əə,0.333
arrau,arpa,ɝaʊ,ER AW,əɹəə,0.400
arrau,ipa,ɝaʊ,ER AW,əɹəə,0.400
array'd,arpa,ɝeɪd,ER EY D,əɹəət,0.429
array'd,ipa,ɝeɪd,ER EY D,əɹəət,0.429
arre,arpa,ɝ,ER,əɹ,0.250
arre,ipa,ɝ,ER,əɹ,0.250
arrer,arpa,ɝɝ,ER ER,əɹəɹ,0.400
arrer,ipa,ɝɝ,ER ER,əɹəɹ,0.400
arres,arpa,ɝz,ER Z,əɹs,0.400
arres,ipa,ɝz,ER Z,əɹs,0.400
arrgh,arpa,ɛɹ,EH R,əɹ,0.400
arrgh,arteme,ɛɹ,EH R,əɹ,0.400
arrgh,ipa,ɛɹ,EH R,əɹ,0.400
asche,arpa,æʃ,AE SH,əʃ,0.400
asche,arteme,æʃ,AE SH,əʃ,0.400
asche,ipa,æʃ,AE SH,əʃ,0.400
auckthrough,arpa,ɔkθɹɔ,AO K TH R AO,əkθɹə,0.455
auckthrough,arteme,ɔkθɹɔ,AO K TH R AO,əkθɹə,0.455
auckthrough,ipa,ɔkθɹɔ,AO K TH R AO,əkθɹə,0.455
aue,arpa,aʊ,AW,əə,0.333
aue,ipa,aʊ,AW,əə,0.333
augee,arpa,ɔdʒ,AO JH,əʃ,0.400
augee,arteme,ɔdʒ,AO JH,əʃ,0.400
augee,ipa,ɔdʒ,AO JH,əʃ,0.400
augh,arpa,ɔ,AO,ə,0.250
augh,arteme,ɔ,AO,ə,0.250
augh,ipa,ɔ,AO,ə,0.250
aughin,arpa,ɔɪn,OY N,əən,0.333
aughin,ipa,ɔɪn,OY N,əən,0.333
aught,arpa,ɔt,T,,0.200
aught,arpa,ɑt,AA T,ət,0.400
aught,arpa,ɒt,AO T,,0.400
aught,arteme,ɑt,AA T,ət,0.400
aught,ipa,ɑt,AA T,ət,0.400
aught,ipa,ɒt,AO T,,0.400
aught,ipa,ɔt,T,,0.400
aurelle,arpa,ɝɛl,ER EH L,əɹəl,0.429
aurelle,ipa,ɝɛl,ER EH L,əɹəl,0.429
aurette,arpa,ɝɛt,ER EH T,əɹət,0.429
aurette,ipa,ɝɛt,ER EH T,əɹət,0.429
ausch,arpa,ɔʃ,AO SH,əʃ,0.400
ausch,arteme,ɔʃ,AO SH,əʃ,0.400
ausch,ipa,ɔʃ,AO SH,əʃ,0.400
auschw,arpa,ɔʃ,AO SH,əʃ,0.333
auschw,arteme,ɔʃ,AO SH,əʃ,0.333
auschw,ipa,ɔʃ,AO SH,əʃ,0.333
avoch,arteme,ɒx,,əh,0.400
avoch,ipa,ɒx,,əh,0.400
aww,arpa,ɑ,AA,ə,0.333
aww,arpa,ɔ,AO,,0.333
aww,arteme,ɑ,AA,ə,0.333
aww,ipa,ɑ,AA,ə,0.333
aww,ipa,ɔ,AO,,0.333
ayrault,arpa,eɪɹoʊ,EY R OW,əəɹəə,0.429
ayrault,ipa,eɪɹoʊ,EY R OW,əəɹəə,0.429
baaaa,arpa,boʊ,B OW,pəə,0.400
baaaa,ipa,boʊ,B OW,pəə,0.400
baaaaaa,arpa,boʊoʊ,B OW OW,pəəəə,0.429
baaaaaa,ipa,boʊoʊ,B OW OW,pəəəə,0.429
baaaaaaaa,arpa,boʊoʊoʊ,B OW OW OW,pəəəəəə,0.444
baaaaaaaa,ipa,boʊoʊoʊ,B OW OW OW,pəəəəəə,0.444
baaaaaaaaaa,arpa,boʊoʊoʊoʊ,B OW OW OW OW,pəəəəəəəə,0.455
baaaaaaaaaa,ipa,boʊoʊoʊoʊ,B OW OW OW OW,pəəəəəəəə,0.455
bareaud,arpa,bɝoʊ,B ER OW,pəɹəə,0.429
bareaud,ipa,bɝoʊ,B ER OW,pəɹəə,0.429
barreau,arpa,bɝoʊ,B ER OW,pəɹəə,0.429
barreau,ipa,bɝoʊ,B ER OW,pəɹəə,0.429
barreau's,arpa,bɝoʊz,B ER OW Z,pəɹəəs,0.444
barreau's,ipa,bɝoʊz,B ER OW Z,pəɹəəs,0.444
barreaux,arpa,bɝoʊ,B ER OW,pəɹəə,0.375
barreaux,ipa,bɝoʊ,B ER OW,pəɹəə,0.375
baugh,arpa,bɒ,B,pə,0.200
baugh,arpa,bɔ,B AO,,0.400
baugh,arteme,bɒ,B,pə,0.400
baugh,ipa,bɒ,B,pə,0.400
baugh,ipa,bɔ,B AO,,0.400
bayeaux,arpa,beɪoʊ,B EY OW,pəəəə,0.429
bayeaux,ipa,beɪoʊ,B EY OW,pəəəə,0.429
bayeh,arpa,beɪ,B EY,pəə,0.400
bayeh,ipa,beɪ,B EY,pəə,0.400
bbe,arpa,b,B,p,0.333
bbe,arteme,b,B,p,0.333
bbe,ipa,b,B,p,0.333
beauleigh,arpa,boʊlʌ,B OW L AH,pəələ,0.444
beauleigh,ipa,boʊlʌ,B OW L AH,pəələ,0.444
beowawe,arpa,boʊeɪ,B OW EY,pəəəə,0.429
beowawe,ipa,boʊeɪ,B OW EY,pəəəə,0.429
berault,arpa,bɝoʊ,B ER OW,pəɹəə,0.429
berault,ipa,bɝoʊ,B ER OW,pəɹəə,0.429
berghoff,arpa,bɒf,B F,pəf,0.250
berghoff,arteme,bɒf,B F,pəf,0.375
berghoff,ipa,bɒf,B F,pəf,0.375
berough,arpa,bɚɔ,B AO,pəɹə,0.286
berough,ipa,bɚɔ,B AO,pəɹə,0.429
beurre,arpa,bɝ,B ER,pəɹ,0.333
beurre,ipa,bɝ,B ER,pəɹ,0.333
bgh,arpa,b,B,p,0.333
bgh,arteme,b,B,p,0.333
bgh,ipa,b,B,p,0.333
bibbeau,arpa,bɪb,B IH B,pəp,0.429
bibbeau,arteme,bɪb,B IH B,pəp,0.429
bibbeau,ipa,bɪb,B IH B,pəp,0.429
booetes,arteme,buts,B UW T S,pəs,0.429
booetes,ipa,buts,B UW T S,pəs,0.429
boughed,arpa,baʊd,B AW D,pəət,0.429
boughed,ipa,baʊd,B AW D,pəət,0.429
bouille,arpa,bul,B UW L,pəl,0.429
bouille,arteme,bul,B UW L,pəl,0.429
bouille,ipa,bul,B UW L,pəl,0.429
bouisse,arpa,bus,B UW S,pəs,0.429
bouisse,arteme,bus,B UW S,pəs,0.429
bouisse,ipa,bus,B UW S,pəs,0.429
bourreau,arpa,bɝoʊ,B ER OW,pəɹəə,0.375
bourreau,ipa,bɝoʊ,B ER OW,pəɹəə,0.375
bourree,arpa,bɝi,B ER IY,pəɹə,0.429
bourree,ipa,bɝi,B ER IY,pəɹə,0.429
breault,arpa,bɹoʊ,B R OW,pɹəə,0.429
breault,ipa,bɹoʊ,B R OW,pɹəə,0.429
breault's,arpa,bɹoʊz,B R OW Z,pɹəəs,0.444
breault's,ipa,bɹoʊz,B R OW Z,pɹəəs,0.444
breaute's,ipa,bɹoʊts,B R OW T S,pɹəəs,0.444
burritt's,ipa,bɝɪts,B ER IH T S,pəɹəs,0.444
burrough,arpa,bɝoʊ,B ER OW,pəɹəə,0.375
burrough,ipa,bɝoʊ,B ER OW,pəɹəə,0.375
burrough's,arpa,bɝoʊz,B ER OW Z,pəɹəəs,0.400
burrough's,ipa,bɝoʊz,B ER OW Z,pəɹəəs,0.400
burroughes,arpa,bɝoʊz,B ER OW Z,pəɹəəs,0.400
burroughes,ipa,bɝoʊz,B ER OW Z,pəɹəəs,0.400
bursche,arpa,bɝʃ,B ER SH,pəɹʃ,0.429
bursche,ipa,bɝʃ,B ER SH,pəɹʃ,0.429
burtsch,arpa,bɝtʃ,B ER CH,pəɹʃ,0.429
burtsch,ipa,bɝtʃ,B ER CH,pəɹʃ,0.429
cailleach,arpa,kaɪitʃ,K AY IY CH,kəəəʃ,0.444
cailleach,ipa,kaɪitʃ,K AY IY CH,kəəəʃ,0.444
cdg,arpa,k,K,k,0.333
cdg,arteme,k,K,k,0.333
cdg,ipa,k,K,k,0.333
ch'ao,arpa,ʃaʊ,SH AW,ʃəə,0.400
ch'ao,ipa,ʃaʊ,SH AW,ʃəə,0.400
chaigneux,arpa,tʃeɪnu,CH EY N UW,ʃəənə,0.444
chaigneux,ipa,tʃeɪnu,CH EY N UW,ʃəənə,0.444
chard's,ipa,tʃɝdz,CH ER D Z,ʃəɹs,0.429
chasseuse,arpa,tʃæsz,CH AE S Z,ʃəss,0.444
chasseuse,arteme,tʃæsz,CH AE S Z,ʃəss,0.444
chasseuse,ipa,tʃæsz,CH AE S Z,ʃəss,0.444
chaud,arpa,ʃoʊ,SH OW,ʃəə,0.400
chaud,ipa,ʃoʊ,SH OW,ʃəə,0.400
chaudes,ipa,ʃoʊdz,SH OW D Z,ʃəəs,0.429
chauffeur's,arpa,ʃoʊfɝz,SH OW F ER Z,ʃəəfəɹs,0.455
chauffeur's,ipa,ʃoʊfɝz,SH OW F ER Z,ʃəəfəɹs,0.455
chauffeured,arpa,ʃoʊfɚd,SH OW F D,ʃəəfəɹt,0.364
chauffeured,ipa,ʃoʊfɚd,SH OW F D,ʃəəfəɹt,0.455
chausse,arpa,tʃaʊs,CH AW S,ʃəəs,0.429
chausse,arpa,ʃoʊs,SH OW S,,0.429
chausse,ipa,tʃaʊs,CH AW S,ʃəəs,0.429
chausse,ipa,ʃoʊs,SH OW S,,0.429
chaux,arpa,ʃoʊ,SH OW,ʃəə,0.400
chaux,ipa,ʃoʊ,SH OW,ʃəə,0.400
chawe,arpa,tʃoʊ,CH OW,ʃəə,0.400
chawe,ipa,tʃoʊ,CH OW,ʃəə,0.400
chawing,arpa,tʃɔɪŋ,CH OY NG,ʃəən,0.429
chawing,ipa,tʃɔɪŋ,CH OY NG,ʃəən,0.429
chebuxare,arpa,tʃbuɚ,CH B UW,ʃpəəɹ,0.333
chebuxare,ipa,tʃbuɚ,CH B UW,ʃpəəɹ,0.444
checque,arpa,tʃɛk,CH EH K,ʃək,0.429
checque,arteme,tʃɛk,CH EH K,ʃək,0.429
checque,ipa,tʃɛk,CH EH K,ʃək,0.429
cheoche,arpa,tʃutʃ,CH UW CH,ʃəʃ,0.429
cheoche,arteme,tʃutʃ,CH UW CH,ʃəʃ,0.429
cheoche,ipa,tʃutʃ,CH UW CH,ʃəʃ,0.429
cherborough,arpa,tʃɚbɚoʊ,CH B OW,ʃəɹpəɹəə,0.273
cherborough,ipa,tʃɚbɚoʊ,CH B OW,ʃəɹpəɹəə,0.455
cherche,arpa,tʃɝtʃ,CH ER CH,ʃəɹʃ,0.429
cherche,ipa,tʃɝtʃ,CH ER CH,ʃəɹʃ,0.429
chiai,arpa,tʃi,CH IY,ʃə,0.400
chiai,arteme,tʃi,CH IY,ʃə,0.400
chiai,ipa,tʃi,CH IY,ʃə,0.400
chiao,arpa,tʃaʊ,CH AW,ʃəə,0.400
chiao,ipa,tʃaʊ,CH AW,ʃəə,0.400
chitesh,arpa,tʃaɪtʃ,CH AY CH,ʃəəʃ,0.429
chitesh,ipa,tʃaɪtʃ,CH AY CH,ʃəəʃ,0.429
chiteshites,ipa,tʃaɪtʃɪts,CH AY CH IH T S,ʃəəʃəs,0.455
chiteshte,arpa,tʃaɪtʃt,CH AY CH T,ʃəəʃt,0.444
chiteshte,ipa,tʃaɪtʃt,CH AY CH T,ʃəəʃt,0.444
choate's,ipa,tʃoʊts,CH OW T S,ʃəəs,0.375
chotesque,ipa,tʃoʊtsk,CH OW T S K,ʃəəsk,0.444
chouffe,arpa,tʃaʊf,CH AW F,ʃəəf,0.429
chouffe,ipa,tʃaʊf,CH AW F,ʃəəf,0.429
choughs,arpa,tʃaʊz,CH AW Z,ʃəəs,0.429
choughs,ipa,tʃaʊz,CH AW Z,ʃəəs,0.429
choux,arpa,ʃu,SH UW,ʃə,0.400
choux,arteme,ʃu,SH UW,ʃə,0.400
choux,ipa,ʃu,SH UW,ʃə,0.400
churche,arpa,tʃɝtʃ,CH ER CH,ʃəɹʃ,0.429
churche,ipa,tʃɝtʃ,CH ER CH,ʃəɹʃ,0.429
chute's,arteme,ʃuts,SH UW T S,ʃəs,0.429
chute's,ipa,ʃuts,SH UW T S,ʃəs,0.429
clairette's,ipa,klɝɛts,K L ER EH T S,kləɹəs,0.455
cleugh,arpa,kl,K L,kl,0.333
cleugh,arteme,kl,K L,kl,0.333
cleugh,ipa,kl,K L,kl,0.333
coeur's,arpa,kɝz,K ER Z,kəɹs,0.429
coeur's,ipa,kɝz,K ER Z,kəɹs,0.429
coeurne,arpa,kɝn,K ER N,kəɹn,0.429
coeurne,ipa,kɝn,K ER N,kəɹn,0.429
coorgh,arpa,kɚ,K,kəɹ,0.167
coorgh,ipa,kɚ,K,kəɹ,0.333
coote's,arteme,kuts,K UW T S,kəs,0.429
coote's,ipa,kuts,K UW T S,kəs,0.429
costessey,arpa,kɒsi,K S IY,kəsə,0.333
costessey,arteme,kɒsi,K S IY,kəsə,0.444
costessey,ipa,kɒsi,K S IY,kəsə,0.444
courteaux,arpa,kɚtoʊ,K T OW,kəɹtəə,0.333
courteaux,ipa,kɚtoʊ,K T OW,kəɹtəə,0.444
d'air,arpa,dɝ,D ER,təɹ,0.400
d'air,ipa,dɝ,D ER,təɹ,0.400
d'homme,arpa,dɑm,D AA M,tən,0.429
d'homme,arteme,dɑm,D AA M,tən,0.429
d'homme,ipa,dɑm,D AA M,tən,0.429
d'honneur,arpa,dʌnɝ,D AH N ER,tənəɹ,0.444
d'honneur,ipa,dʌnɝ,D AH N ER,tənəɹ,0.444
d'hooghe,arpa,dug,D UW G,tək,0.375
d'hooghe,arteme,dug,D UW G,tək,0.375
d'hooghe,ipa,dug,D UW G,tək,0.375
d'hotes,ipa,doʊts,D OW T S,təəs,0.429
d'oeuvre,arpa,dɝv,D ER V,təɹf,0.375
d'oeuvre,ipa,dɝv,D ER V,təɹf,0.375
d'oeuvres,arpa,dɝvz,D ER V Z,təɹfs,0.444
d'oeuvres,ipa,dɝvz,D ER V Z,təɹfs,0.444
daaaa,arpa,doʊ,D OW,təə,0.400
daaaa,ipa,doʊ,D OW,təə,0.400
daugh,arpa,dɔ,D AO,tə,0.400
daugh,arteme,dɔ,D AO,tə,0.400
daugh,ipa,dɔ,D AO,tə,0.400
dde,arpa,d,D,t,0.333
dde,arteme,d,D,t,0.333
dde,ipa,d,D,t,0.333
dear',arpa,dɝ,D ER,təɹ,0.400
dear',ipa,dɝ,D ER,təɹ,0.400
deitsch,arpa,daɪtʃ,D AY CH,təəʃ,0.429
deitsch,ipa,daɪtʃ,D AY CH,təəʃ,0.429
deutscher,arpa,dɔɪtʃɝ,D OY CH ER,təəʃəɹ,0.444
deutscher,ipa,dɔɪtʃɝ,D OY CH ER,təəʃəɹ,0.444
dhe,arpa,d,D,t,0.333
dhe,arteme,d,D,t,0.333
dhe,ipa,d,D,t,0.333
dhought,arpa,dɔt,D AO T,tət,0.429
dhought,arteme,dɔt,D AO T,tət,0.429
dhought,ipa,dɔt,D AO T,tət,0.429
ditte's,arteme,dɪts,D IH T S,təs,0.429
ditte's,ipa,dɪts,D IH T S,təs,0.429
djouhou,arpa,dʒaʊu,JH AW UW,ʃəəə,0.429
djouhou,ipa,dʒaʊu,JH AW UW,ʃəəə,0.429
doubt's,ipa,daʊts,D AW T S,təəs,0.429
dsw,arteme,dz,D Z,s,0.333
dsw,ipa,dz,D Z,s,0.333
dutilleux,arpa,dutɜ,D UW T,tətə,0.333
dutilleux,arteme,dutɜ,D UW T,tətə,0.444
dutilleux,ipa,dutɜ,D UW T,tətə,0.444
e'e,arpa,i,IY,ə,0.333
e'e,arteme,i,IY,ə,0.333
e'e,ipa,i,IY,ə,0.333
ead's,arteme,idz,IY D Z,əs,0.400
ead's,ipa,idz,IY D Z,əs,0.400
eades,arteme,idz,IY D Z,əs,0.400
eades,ipa,idz,IY D Z,əs,0.400
eag,arpa,i,IY,ə,0.333
eag,arteme,i,IY,ə,0.333
eag,ipa,i,IY,ə,0.333
ear'd,arpa,ɝd,ER D,əɹt,0.400
ear'd,ipa,ɝd,ER D,əɹt,0.400
earle's,arpa,ɝlz,ER L Z,əɹls,0.429
earle's,ipa,ɝlz,ER L Z,əɹls,0.429
earnhardt,arpa,ɜnt,N T,ənt,0.222
earnhardt,arteme,ɜnt,N T,ənt,0.333
earnhardt,ipa,ɜnt,N T,ənt,0.333
earth's,arpa,ɝθs,ER TH S,əɹθs,0.429
earth's,ipa,ɝθs,ER TH S,əɹθs,0.429
earthed,arpa,ɝθt,ER TH T,əɹθt,0.429
earthed,ipa,ɝθt,ER TH T,əɹθt,0.429
earther,arpa,ɝtɚ,F,əɹθəɹ,0.143
earther,arpa,ɝθɚ,T,əθə,0.143
earther,arpa,ɝθɝ,TH,,0.143
earther,arpa,ɜfə,ER F,əfə,0.286
earther,arpa,ɜtə,ER T,ətə,0.286
earther,arpa,ɜθə,ER TH,əɹfəɹ,0.286
earther,arpa,ɝfɚ,ER TH ER,əɹtəɹ,0.429
earther,arteme,ɜfə,ER F,əfə,0.429
earther,arteme,ɜtə,ER T,ətə,0.429
earther,arteme,ɝθɚ,T,əθə,0.429
earther,ipa,ɜfə,ER F,əfə,0.429
earther,ipa,ɜtə,ER T,ətə,0.429
earther,ipa,ɜθə,ER TH,əɹfəɹ,0.429
earther,ipa,ɝfɚ,ER TH ER,əɹtəɹ,0.429
earther,ipa,ɝtɚ,F,əɹθəɹ,0.429
earther,ipa,ɝθɚ,T,əθə,0.429
earther,ipa,ɝθɝ,TH,,0.429
earthie,arpa,ɝfi,F IY,əɹtə,0.286
earthie,arpa,ɝti,T IY,əɹθə,0.286
earthie,arpa,ɝθi,TH IY,əθə,0.286
earthie,arpa,ɜfi,ER F IY,əfə,0.429
earthie,arpa,ɜti,ER T IY,ətə,0.429
earthie,arpa,ɜθi,ER TH IY,əɹfə,0.429
earthie,arteme,ɜfi,ER F IY,əfə,0.429
earthie,arteme,ɜti,ER T IY,ətə,0.429
earthie,arteme,ɝθi,TH IY,əθə,0.429
earthie,ipa,ɜfi,ER F IY,əfə,0.429
earthie,ipa,ɜti,ER T IY,ətə,0.429
earthie,ipa,ɜθi,ER TH IY,əɹfə,0.429
earthie,ipa,ɝfi,F IY,əɹtə,0.429
earthie,ipa,ɝti,T IY,əɹθə,0.429
earthie,ipa,ɝθi,TH IY,əθə,0.429
earthque,arpa,ɚθk,TH K,əɹθk,0.250
earthque,ipa,ɚθk,TH K,əɹθk,0.375
earthrights,arpa,ɚθɹaɪts,TH R AY T S,əɹθɹəəs,0.455
earthrights,ipa,ɚθɹaɪts,TH R AY T S,əɹθɹəəs,0.455
earts,ipa,ɝts,ER T S,əɹs,0.400
eddes,arteme,ɛdz,EH D Z,əs,0.400
eddes,ipa,ɛdz,EH D Z,əs,0.400
ede's,arteme,idz,IY D Z,əs,0.400
ede's,ipa,idz,IY D Z,əs,0.400
edj,arpa,t,T,t,0.333
edj,arteme,t,T,t,0.333
edj,ipa,t,T,t,0.333
ee'll,arpa,il,IY L,əl,0.400
ee'll,arteme,il,IY L,əl,0.400
ee'll,ipa,il,IY L,əl,0.400
eeeeeee,arpa,iii,IY IY IY,əəə,0.429
eeeeeee,arteme,iii,IY IY IY,əəə,0.429
eeeeeee,ipa,iii,IY IY IY,əəə,0.429
eeeeeeeeeeeeeeeeeee,arpa,iiiiiiiii,IY IY IY IY IY IY IY IY IY,əəəəəəəəə,0.474
eeeeeeeeeeeeeeeeeee,arteme,iiiiiiiii,IY IY IY IY IY IY IY IY IY,əəəəəəəəə,0.474
eeeeeeeeeeeeeeeeeee,ipa,iiiiiiiii,IY IY IY IY IY IY IY IY IY,əəəəəəəəə,0.474
eeeeeeeeeeeeeeeeeeeee,arpa,iiiiiiiiii,IY IY IY IY IY IY IY IY IY IY,əəəəəəəəəə,0.476
eeeeeeeeeeeeeeeeeeeee,arteme,iiiiiiiiii,IY IY IY IY IY IY IY IY IY IY,əəəəəəəəəə,0.476
eeeeeeeeeeeeeeeeeeeee,ipa,iiiiiiiiii,IY IY IY IY IY IY IY IY IY IY,əəəəəəəəəə,0.476
eeeeeth,arpa,iiθ,IY IY TH,əəθ,0.429
eeeeeth,arteme,iiθ,IY IY TH,əəθ,0.429
eeeeeth,ipa,iiθ,IY IY TH,əəθ,0.429
eeh,arpa,i,IY,ə,0.333
eeh,arteme,i,IY,ə,0.333
eeh,ipa,i,IY,ə,0.333
eetes,arteme,its,IY T S,əs,0.400
eetes,ipa,its,IY T S,əs,0.400
eig,arpa,aɪ,AY,əə,0.333
eig,ipa,aɪ,AY,əə,0.333
eigh,arpa,eɪ,EY,əə,0.250
eigh,ipa,eɪ,EY,əə,0.250
eight's,arpa,eɪts,EY T S,əəs,0.429
eight's,arteme,eɪts,EY T S,əəs,0.429
eight's,ipa,eɪts,EY T S,əəs,0.286
eighth's,arpa,eɪθs,EY TH S,əəθs,0.375
eighth's,ipa,eɪθs,EY TH S,əəθs,0.375
eighthers,arpa,aɪðɚz,AY DH Z,əəθəɹs,0.333
eighthers,ipa,aɪðɚz,AY DH Z,əəθəɹs,0.444
eightsome,arpa,eɪtsəm,EY T S M,əəsən,0.444
eightsome,ipa,eɪtsəm,EY T S M,əəsən,0.444
eigne,arpa,eɪn,EY N,əən,0.400
eigne,ipa,eɪn,EY N,əən,0.400
elleigh,arpa,ɛlaɪ,EH L AY,ələə,0.429
elleigh,ipa,ɛlaɪ,EH L AY,ələə,0.429
eoh,arpa,oʊ,OW,əə,0.333
eoh,ipa,oʊ,OW,əə,0.333
eor,ipa,ɚ,,əɹ,0.333
eowerth,arpa,oʊɚθ,OW TH,əəəɹθ,0.286
eowerth,ipa,oʊɚθ,OW TH,əəəɹθ,0.429
err'd,arpa,ɝd,ER D,əɹt,0.400
err'd,ipa,ɝd,ER D,əɹt,0.400
ersch,arpa,ɚʃ,SH,əɹʃ,0.200
ersch,ipa,ɚʃ,SH,əɹʃ,0.400
ertes,arpa,ɚts,T S,əɹs,0.400
ertes,ipa,ɚts,T S,əɹs,0.400
erthe,arpa,ɝð,ER DH,əɹθ,0.400
erthe,ipa,ɝð,ER DH,əɹθ,0.400
esche,arpa,ɛʃ,EH SH,əʃ,0.400
esche,arteme,ɛʃ,EH SH,əʃ,0.400
esche,ipa,ɛʃ,EH SH,əʃ,0.400
euvres,arpa,vz,V Z,fs,0.333
euvres,arteme,vz,V Z,fs,0.333
euvres,ipa,vz,V Z,fs,0.333
eux,arpa,oʊ,OW,əə,0.333
eux,ipa,oʊ,OW,əə,0.333
eye',arpa,aɪ,AY,əə,0.250
eye',ipa,aɪ,AY,əə,0.250
eye's,arpa,aɪz,AY Z,əəs,0.400
eye's,ipa,aɪz,AY Z,əəs,0.400
eyeache,arpa,aɪeɪk,AY EY K,əəəək,0.429
eyeache,ipa,aɪeɪk,AY EY K,əəəək,0.429
eyebright's,ipa,aɪbɹaɪts,AY B R AY T S,əəpɹəəs,0.455
eyesight's,ipa,aɪsaɪts,AY S AY T S,əəsəəs,0.400
eyeth,arpa,aɪθ,AY TH,əəθ,0.400
eyeth,ipa,aɪθ,AY TH,əəθ,0.400
eyew,arpa,aɪ,AY,əə,0.250
eyew,ipa,aɪ,AY,əə,0.250
eyscher,arpa,aɪʃɚ,AY SH,əəʃəɹ,0.286
eyscher,ipa,aɪʃɚ,AY SH,əəʃəɹ,0.429
eyyy,arpa,eɪ,EY,əə,0.250
eyyy,ipa,eɪ,EY,əə,0.250
faaaaaaaa,arpa,foʊoʊoʊ,F OW OW OW,fəəəəəə,0.444
faaaaaaaa,ipa,foʊoʊoʊ,F OW OW OW,fəəəəəə,0.444
