name,country_codes,examples,scope,match_regex,op,out_phone
schwa_syncope_between_consonants,ALL,camera→[kæmrə]; family→[fæmli],intra,(?<= C ) ə (?= C),D,
and_clitic_reduction,ALL,fish and chips→[fɪʃ n tʃɪps]; rock and roll→[rɒk n roʊl],inter,æ n d,S,n
th_fronting_voiceless,GB,thin→[fɪn]; tooth→[tuːf],both,θ,S,f
th_fronting_voiced,GB,this→[vɪs]; mother→[mʌvə],both,ð,S,v
th_stopping_voiceless,"IE, US",thin→[tɪn]; nothing→[nʌtɪŋ],both,θ,S,t
th_stopping_voiced,"IE, US",this→[dɪs]; weather→[wɛdə],both,ð,S,d
h_deletion_intervocalic,"GB, US",vehicle→[viːɪkl̩]; rehash→[riːæʃ],both,(?<= V ) h (?= V),D,
hiatus_glottal_insertion,ALL,re-enter→[riː ʔ ɛntə]; co-owner→[koʊ ʔ oʊnəɹ],inter,(?<= V ) # (?= V),A,ʔ
tr_affrication,"US, CA, AU",train→[tʃɹeɪn]; true→[tʃruː],intra,t ɹ,S,tʃ
dr_affrication,"US, CA, AU",drive→[dʒɹaɪv]; dream→[dʒɹiːm],intra,d ɹ,S,dʒ
nt_cluster_reduction,"US, AU",winter→[wɪnəɹ]; international→[ɪnəˈnæʃnəl],intra,n t(?= (ə|C|#)),D,
kt_cluster_simplification,ALL,asked→[æs(t)]; masked→[mæst],intra,(?<= s ) k (?= t),D,
syllabic_n_after_schwa,ALL,button→[bʌtn̩]; cotton→[kɒtn̩],intra,ə n(?= (C|#)),S,n̩
syllabic_l_after_schwa,ALL,bottle→[bɒtl̩]; little→[lɪtl̩],intra,ə l(?= (C|#)),S,l̩
syllabic_m_after_schwa,ALL,rhythm→[rɪðm̩]; prism→[prɪzm̩],intra,ə m(?= (C|#)),S,m̩
glottal_reinforcement_stops,"GB, US",stop→[stɒʔp]; act→[æʔkt],intra,(?<= V ) (p|t|k) (?= (C|#)),A,ʔ
canadian_raising_before_voiceless,CA,write→[rʌɪt]; house→[hʌʊs],intra,(aɪ|aʊ) (?= (p|t|k|f|s|θ|ʃ|tʃ) ),S,ʌ$1
happy_tensing_final,"GB, AU, NZ",happy→[hæpi]; coffee→[kɒfi],intra,(?<= C ) ɪ (?= #),S,i
of_reduction_v_deletion,ALL,cup of→[kʌp ə]; lot of→[lɒt ə],inter,(ɒ|ə) v(?= #),S,$1
ng_simplification_in_something,ALL,something→[sʌmθɪŋ]; nothing→[nʌθɪŋ],intra,ŋ g (?= #),S,ŋ
diphthong_smoothing_before_schwa,GB,fire→[faə]; tower→[taə],intra,(aɪ|aʊ) (?= ə ),S,aə
weak_form_to_reduction,ALL,to→[tə]; going to→[ɡəʊɪŋ tə],inter,(?<= # ) t uː (?= #),S,tə
weak_form_for_reduction,ALL,for→[fə]; what for→[wɒt fə],inter,(?<= # ) f ɔː (?= #),S,fə
weak_form_at_reduction,ALL,at→[ət]; look at→[lʊk ət],inter,(?<= # ) æ t (?= #),S,ət
weak_form_can_reduction,ALL,can→[kən]; I can go→[aɪ kən ɡəʊ],inter,(?<= # ) k æ n (?= #),S,kən
weak_form_have_reduction,ALL,have→[həv]; I have→[aɪ əv],inter,(?<= # ) h æ v (?= #),S,əv
weak_form_has_reduction,ALL,has→[həz]; he has→[hiː əz],inter,(?<= # ) h æ z (?= #),S,əz
weak_form_had_reduction,ALL,had→[həd]; I had→[aɪ əd],inter,(?<= # ) h æ d (?= #),S,əd
weak_form_and_full_reduction,ALL,bread and butter→[brɛd ən bʌtə],inter,(?<= # ) æ n d (?= #),S,ən
weak_form_of_full_reduction,ALL,kind of→[kaɪnd əv]; sort of→[sɔːt əv],inter,(?<= # ) ɒ v (?= #),S,əv
