word,ipa
-encia,[ˈẽn̟.θja]
-ense,/ˈense/
-ense,[ˈẽn.se]
-ente,/ˈente/
-ente,[ˈẽn̪.t̪e]
-entes,/ˈentes/
-entes,[ˈẽn̪.t̪es]
-ento,/ˈento/
-ento,[ˈẽn̪.t̪o]
-enza,/ˈensa/
-enza,/ˈenθa/
-enza,[ˈẽn.sa]
-enza,[ˈẽn̟.θa]
-era,/ˈeɾa/
-era,[ˈe.ɾa]
-ero,/ˈeɾo/
-ero,[ˈe.ɾo]
-esa,/ˈesa/
-esa,[ˈe.sa]
-esco,/ˈesko/
-esco,[ˈes.ko]
-eto,/ˈeto/
-eto,[ˈe.t̪o]
-ezno,/ˈesno/
-ezno,/ˈeθno/
-ezno,[ˈez.no]
-ezno,[ˈeθ̬.no]
-eño,/ˈeɲo/
-eño,[ˈe.ɲo]
-fagia,/ˈfaxja/
-fagia,[ˈfa.xja]
-fobia,/ˈfobja/
-fobia,[ˈfo.β̞ja]
-forme,/ˈfoɾme/
-forme,[ˈfoɾ.me]
-gono,/ˈɡono/
-gono,[ˈɡo.no]
-grafía,/ɡɾaˈfia/
-grafía,[ɡɾaˈfi.a]
-gráfico,/ˈɡɾafiko/
-gráfico,[ˈɡɾa.fi.ko]
-iano,/ˈjano/
-iano,/ˈʝano/
-iano,[ˈja.no]
-iano,[ˈɟ͡ʝa.no]
-iatría,/jaˈtɾia/
-iatría,/ʝaˈtɾia/
-iatría,[jaˈt̪ɾi.a]
-iatría,[ɟ͡ʝaˈt̪ɾi.a]
-ible,/ˈible/
-ible,[ˈi.β̞le]
-ica,/ˈika/
-ica,[ˈi.ka]
-ico,/iko/
-ico,[i.ko]
-idades,/iˈdades/
-idades,[iˈð̞a.ð̞es]
-ificar,/ifiˈkaɾ/
-ificar,[i.fiˈkaɾ]
-ijo,/ˈixo/
-ijo,[ˈi.xo]
-illo,/ˈiʃo/
-illo,/ˈiʎo/
-illo,/ˈiʒo/
-illo,/ˈiʝo/
-illo,[ˈi.ʃo]
-illo,[ˈi.ʎo]
-illo,[ˈi.ʒo]
-illo,[ˈi.ʝo]
-ino,/ˈino/
-ino,[ˈi.no]
-ismo,/ˈismo/
-ismo,[ˈiz.mo]
-ismos,/ˈismos/
-ismos,[ˈiz.mos]
-ista,/ˈista/
-ista,[ˈis.t̪a]
-istán,/isˈtan/
-istán,[isˈt̪ãn]
-itico,/iˈtiko/
-itico,[iˈt̪i.ko]
-ito,/ˈito/
-ito,[ˈi.t̪o]
-ización,/isaˈsjon/
-ización,/iθaˈθjon/
-ización,[i.saˈsjõn]
-ización,[i.θaˈθjõn]
-izar,/iˈsaɾ/
-izar,/iˈθaɾ/
-izar,[iˈsaɾ]
-izar,[iˈθaɾ]
-izo,/ˈiso/
-izo,/ˈiθo/
-izo,[ˈi.so]
-izo,[ˈi.θo]
-lito,/ˈlito/
-lito,[ˈli.t̪o]
-logo,/loɡo/
-logo,[lo.ɣ̞o]
-logía,/loˈxia/
-logía,[loˈxi.a]
-lógico,/ˈloxiko/
-lógico,[ˈlo.xi.ko]
-mancia,/ˈmansja/
-mancia,/ˈmanθja/
-mancia,[ˈmãn.sja]
-mancia,[ˈmãn̟.θja]
-manía,/maˈnia/
-manía,[maˈni.a]
-mente,/ˈmente/
-mente,[ˈmẽn̪.t̪e]
-mento,/ˈmento/
-mento,[ˈmẽn̪.t̪o]
-metría,/meˈtɾia/
-metría,[meˈt̪ɾi.a]
-miento,/ˈmjento/
-miento,[ˈmjẽn̪.t̪o]
-morfismo,/moɾˈfismo/
-morfismo,[moɾˈfiz.mo]
-morfo,/ˈmoɾfo/
-morfo,[ˈmoɾ.fo]
-métrico,/ˈmetɾiko/
-métrico,[ˈme.t̪ɾi.ko]
-mórfico,/ˈmoɾfiko/
-mórfico,[ˈmoɾ.fi.ko]
-nauta,/ˈnauta/
-nauta,[ˈnau̯.t̪a]
-oide,/ˈoide/
-oide,[ˈoi̯.ð̞e]
-oma,/ˈoma/
-oma,[ˈo.ma]
-ota,/ˈota/
-ota,[ˈo.t̪a]
-otas,/ˈotas/
-otas,[ˈo.t̪as]
-ote,/ˈote/
-ote,[ˈo.t̪e]
-otes,/ˈotes/
-otes,[ˈo.t̪es]
-patía,/paˈtia/
-patía,[paˈt̪i.a]
-plastia,/ˈplastja/
-plastia,[ˈplas.t̪ja]
-podo,/podo/
-podo,[po.ð̞o]
-ra,/ˈɾa/
-ra,[ˈɾa]
-re,/ˈɾe/
-re,[ˈɾe]
-res,/ˈɾes/
-res,[ˈɾes]
-scopio,/ˈskopjo/
-scopio,[ˈsko.pjo]
-tecnia,/ˈteɡnja/
-tecnia,[ˈt̪eɣ̞.nja]
-tepeque,/teˈpeke/
-tepeque,[t̪eˈpe.ke]
-tomía,/toˈmia/
-tomía,[t̪oˈmi.a]
-torio,/ˈtoɾjo/
-torio,[ˈt̪o.ɾjo]
-trofia,/ˈtɾofja/
-trofia,[ˈt̪ɾo.fja]
-ucha,/ˈut͡ʃa/
-ucha,[ˈu.t͡ʃa]
-uchas,/ˈut͡ʃas/
-uchas,[ˈu.t͡ʃas]
-ucho,/ˈut͡ʃo/
-ucho,[ˈu.t͡ʃo]
-uchos,/ˈut͡ʃos/
-uchos,[ˈu.t͡ʃos]
-umbre,/ˈumbɾe/
-umbre,[ˈũm.bɾe]
-uno,/ˈuno/
-uno,[ˈu.no]
-uro,/ˈuɾo/
-uro,[ˈu.ɾo]
-xión,/ˈsjon/
-xión,[ˈsjõn]
-zoo,/ˈsoo/
-zoo,/ˈθoo/
-zoo,[ˈso.o]
-zoo,[ˈθo.o]
-áceo,/ˈaseo/
-áceo,/ˈaθeo/
-áceo,[ˈa.se.o]
-áceo,[ˈa.θe.o]
-ático,/ˈatiko/
-ático,[ˈa.t̪i.ko]
-és,/ˈes/
-és,[ˈes]
-í,/ˈi/
-í,[ˈi]
-ío,/ˈio/
-ío,[ˈi.o]
-ísima,/ˈisima/
-ísima,[ˈi.si.ma]
-ísimo,/ˈisimo/
-ísimo,[ˈi.si.mo]
-ístico,/ˈistiko/
-ístico,[ˈis.t̪i.ko]
-ó,/ˈo/
-ó,[ˈo]
-ón,/ˈon/
-ón,[ˈõn]
1 corintios,/un koˈɾintjos/
1 corintios,[ũŋ koˈɾĩn̪.t̪jos]
1 crónicas,/un ˈkɾonikas/
1 crónicas,[ũŋ ˈkɾo.ni.kas]
1 juan,/un ˈxwan/
1 juan,[ũŋ ˈxwãn]
1 macabeos,/um makaˈbeos/
1 macabeos,[ũm ma.kaˈβ̞e.os]
1 pedro,/um ˈpedɾo/
1 pedro,[ũm ˈpe.ð̞ɾo]
1 reyes,/un ˈreʃes/
1 reyes,/un ˈreʒes/
1 reyes,/un ˈreʝes/
1 reyes,[ũn ˈre.ʃes]
1 reyes,[ũn ˈre.ʒes]
1 reyes,[ũn ˈre.ʝes]
1 samuel,/un saˈmwel/
1 samuel,[ũn saˈmwel]
1 tesalonicenses,/un tesaloniˈsenses/
1 tesalonicenses,/un tesaloniˈθenses/
1 tesalonicenses,[ũn̪ t̪e.sa.lo.niˈsẽn.ses]
1 tesalonicenses,[ũn̪ t̪e.sa.lo.niˈθẽn.ses]
1 timoteo,/un timoˈteo/
1 timoteo,[ũn̪ t̪i.moˈt̪e.o]
11 metros,/ˌonse ˈmetɾos/
11 metros,/ˌonθe ˈmetɾos/
11 metros,[ˌõn.se ˈme.t̪ɾos]
11 metros,[ˌõn̟.θe ˈme.t̪ɾos]
11m,/ˌonse ˈeme/
11m,/ˌonθe ˈeme/
11m,[ˌõn.se ˈe.me]
11m,[ˌõn̟.θe ˈe.me]
15m,/ˌkinse ˈeme/
15m,/ˌkinθe ˈeme/
15m,[ˌkĩn.se ˈe.me]
15m,[ˌkĩn̟.θe ˈe.me]
2 corintios,/ˌdos koˈɾintjos/
2 corintios,[ˌd̪os koˈɾĩn̪.t̪jos]
2 crónicas,/ˌdos ˈkɾonikas/
2 crónicas,[ˌd̪os ˈkɾo.ni.kas]
2 juan,/ˌdos ˈxwan/
2 juan,[ˌd̪os ˈxwãn]
2 macabeos,/ˌdos makaˈbeos/
2 macabeos,[ˌd̪oz ma.kaˈβ̞e.os]
2 pedro,/ˌdos ˈpedɾo/
2 pedro,[ˌd̪os ˈpe.ð̞ɾo]
2 reyes,/ˌdos ˈreʃes/
2 reyes,/ˌdos ˈreʒes/
2 reyes,/ˌdos ˈreʝes/
2 reyes,[ˌd̪oz ˈre.ʃes]
2 reyes,[ˌd̪oz ˈre.ʒes]
2 reyes,[ˌd̪oz ˈre.ʝes]
2 samuel,/ˌdos saˈmwel/
2 samuel,[ˌd̪os saˈmwel]
2 tesalonicenses,/ˌdos tesaloniˈsenses/
2 tesalonicenses,/ˌdos tesaloniˈθenses/
2 tesalonicenses,[ˌd̪os t̪e.sa.lo.niˈsẽn.ses]
2 tesalonicenses,[ˌd̪os t̪e.sa.lo.niˈθẽn.ses]
2 timoteo,/ˌdos timoˈteo/
2 timoteo,[ˌd̪os t̪i.moˈt̪e.o]
3 amigos,/ˌtɾes aˈmiɡos/
3 amigos,[ˌt̪ɾes aˈmi.ɣ̞os]
3 juan,/ˌtɾes ˈxwan/
3 juan,[ˌt̪ɾes ˈxwãn]
7 metros,/ˌsjete ˈmetɾos/
7 metros,[ˌsje.t̪e ˈme.t̪ɾos]
9-1-1,/ˌnwebe ˌuno ˈuno/
9-1-1,[ˌnwe.β̞e ˌu.no ˈu.no]
a,/a/
a,[a]
a base de,/a ˈbase de/
a base de,[a ˈβ̞a.se ð̞e]
a base de bien,/a ˌbase de ˈbjen/
a base de bien,[a ˌβ̞a.se ð̞e ˈβ̞jẽn]
a boca de invierno,/a ˌboka de imˈbjeɾno/
a boca de invierno,[a ˌβ̞o.ka ð̞e ĩmˈbjeɾ.no]
a boca de jarro,/a ˌboka de ˈxaro/
a boca de jarro,[a ˌβ̞o.ka ð̞e ˈxa.ro]
a boca de noche,/a ˌboka de ˈnot͡ʃe/
a boca de noche,[a ˌβ̞o.ka ð̞e ˈno.t͡ʃe]
a bocajarro,/a ˌbokaˈxaro/
a bocajarro,[a ˌβ̞o.kaˈxa.ro]
a bordo,/a ˈboɾdo/
a bordo,[a ˈβ̞oɾ.ð̞o]
a bote pronto,/a ˌbote ˈpɾonto/
a bote pronto,[a ˌβ̞o.t̪e ˈpɾõn̪.t̪o]
a brazo partido,/a ˌbɾaso paɾˈtido/
a brazo partido,/a ˌbɾaθo paɾˈtido/
a brazo partido,[a ˌβ̞ɾa.so paɾˈt̪i.ð̞o]
a brazo partido,[a ˌβ̞ɾa.θo paɾˈt̪i.ð̞o]
"a buen entendedor, pocas palabras bastan",/a ˌbwen entendeˌdoɾ | ˌpokas paˌlabɾas ˈbastan/
"a buen entendedor, pocas palabras bastan",[a ˌβ̞wẽn ẽn̪.t̪ẽn̪.d̪eˌð̞oɾ | ˌpo.kas paˌla.β̞ɾaz ˈβ̞as.t̪ãn]
a buen fin no hay mal tiempo,/a ˌbwen ˌfin ˌno ˌai ˌmal ˈtjempo/
a buen fin no hay mal tiempo,[a ˌβ̞wẽɱ ˌfĩn ˌno ˌai̯ ˌmal̪ ˈt̪jẽm.po]
a buen hambre no hay pan duro,/a ˌbwen ˌambɾe ˌno ˌai ˌpan ˈduɾo/
a buen hambre no hay pan duro,[a ˌβ̞wẽn ˌãm.bɾe ˌno ˌai̯ ˌpãn̪ ˈd̪u.ɾo]
a buen paso,/a ˌbwem ˈpaso/
a buen paso,[a ˌβ̞wẽm ˈpa.so]
a buen recaudo,/a ˌbwen reˈkaudo/
a buen recaudo,[a ˌβ̞wẽn reˈkau̯.ð̞o]
a buen seguro,/a ˌbwen seˈɡuɾo/
a buen seguro,[a ˌβ̞wẽn seˈɣ̞u.ɾo]
a buena fe,/a ˌbwena ˈfe/
a buena fe,[a ˌβ̞we.na ˈfe]
a buena hora,/a ˌbwena ˈoɾa/
a buena hora,[a ˌβ̞we.na ˈo.ɾa]
a buenas,/a ˈbwenas/
a buenas,[a ˈβ̞we.nas]
a buenas horas,/a ˌbwenas ˈoɾas/
a buenas horas,[a ˌβ̞we.nas ˈo.ɾas]
a buenas horas mangas verdes,/a ˌbwenas ˌoɾas ˌmanɡas ˈbeɾdes/
a buenas horas mangas verdes,[a ˌβ̞we.nas ˌo.ɾaz ˌmãŋ.ɡaz ˈβ̞eɾ.ð̞es]
a bulto,/a ˈbulto/
a bulto,[a ˈβ̞ul̪.t̪o]
a cabalidad,/a kabaliˈdad/
a cabalidad,[a ka.β̞a.liˈð̞að̞]
a caballito,/a kabaˈʃito/
a caballito,/a kabaˈʎito/
a caballito,/a kabaˈʒito/
a caballito,/a kabaˈʝito/
a caballito,[a ka.β̞aˈʃi.t̪o]
a caballito,[a ka.β̞aˈʎi.t̪o]
a caballito,[a ka.β̞aˈʒi.t̪o]
a caballito,[a ka.β̞aˈʝi.t̪o]
a caballo,/a kaˈbaʃo/
a caballo,/a kaˈbaʎo/
a caballo,/a kaˈbaʒo/
a caballo,/a kaˈbaʝo/
a caballo,[a kaˈβ̞a.ʃo]
a caballo,[a kaˈβ̞a.ʎo]
a caballo,[a kaˈβ̞a.ʒo]
a caballo,[a kaˈβ̞a.ʝo]
a caballo regalado no le mires el diente,/a kaˌbaʃo reɡaˌlado ˌno le ˌmiɾes el ˈdjente/
a caballo regalado no le mires el diente,/a kaˌbaʎo reɡaˌlado ˌno le ˌmiɾes el ˈdjente/
a caballo regalado no le mires el diente,/a kaˌbaʒo reɡaˌlado ˌno le ˌmiɾes el ˈdjente/
a caballo regalado no le mires el diente,/a kaˌbaʝo reɡaˌlado ˌno le ˌmiɾes el ˈdjente/
a caballo regalado no le mires el diente,[a kaˌβ̞a.ʃo re.ɣ̞aˌla.ð̞o ˌno le ˌmi.ɾes el̪ ˈd̪jẽn̪.t̪e]
a caballo regalado no le mires el diente,[a kaˌβ̞a.ʎo re.ɣ̞aˌla.ð̞o ˌno le ˌmi.ɾes el̪ ˈd̪jẽn̪.t̪e]
a caballo regalado no le mires el diente,[a kaˌβ̞a.ʒo re.ɣ̞aˌla.ð̞o ˌno le ˌmi.ɾes el̪ ˈd̪jẽn̪.t̪e]
a caballo regalado no le mires el diente,[a kaˌβ̞a.ʝo re.ɣ̞aˌla.ð̞o ˌno le ˌmi.ɾes el̪ ˈd̪jẽn̪.t̪e]
"a caballo regalado, no le mires el dentado",/a kaˌbaʃo reɡaˌlado | ˌno le ˌmiɾes el denˈtado/
"a caballo regalado, no le mires el dentado",/a kaˌbaʎo reɡaˌlado | ˌno le ˌmiɾes el denˈtado/
"a caballo regalado, no le mires el dentado",/a kaˌbaʒo reɡaˌlado | ˌno le ˌmiɾes el denˈtado/
"a caballo regalado, no le mires el dentado",/a kaˌbaʝo reɡaˌlado | ˌno le ˌmiɾes el denˈtado/
"a caballo regalado, no le mires el dentado",[a kaˌβ̞a.ʃo re.ɣ̞aˌla.ð̞o | ˌno le ˌmi.ɾes el̪ d̪ẽn̪ˈt̪a.ð̞o]
"a caballo regalado, no le mires el dentado",[a kaˌβ̞a.ʎo re.ɣ̞aˌla.ð̞o | ˌno le ˌmi.ɾes el̪ d̪ẽn̪ˈt̪a.ð̞o]
"a caballo regalado, no le mires el dentado",[a kaˌβ̞a.ʒo re.ɣ̞aˌla.ð̞o | ˌno le ˌmi.ɾes el̪ d̪ẽn̪ˈt̪a.ð̞o]
"a caballo regalado, no le mires el dentado",[a kaˌβ̞a.ʝo re.ɣ̞aˌla.ð̞o | ˌno le ˌmi.ɾes el̪ d̪ẽn̪ˈt̪a.ð̞o]
a cada dos por tres,/a ˌkada ˌdos poɾ ˈtɾes/
a cada dos por tres,[a ˌka.ð̞a ˌð̞os poɾ ˈt̪ɾes]
a cada instante,/a ˌkada insˈtante/
a cada instante,[a ˌka.ð̞a ĩnsˈt̪ãn̪.t̪e]
a cada momento,/a ˌkada moˈmento/
a cada momento,[a ˌka.ð̞a moˈmẽn̪.t̪o]
a cada paso,/a ˌkada ˈpaso/
a cada paso,[a ˌka.ð̞a ˈpa.so]
a cada rato,/a ˌkada ˈrato/
a cada rato,[a ˌka.ð̞a ˈra.t̪o]
a cada uno lo suyo,/a ˌkada ˌuno lo ˈsuʃo/
a cada uno lo suyo,/a ˌkada ˌuno lo ˈsuʒo/
a cada uno lo suyo,/a ˌkada ˌuno lo ˈsuʝo/
a cada uno lo suyo,[a ˌka.ð̞a ˌu.no lo ˈsu.ʃo]
a cada uno lo suyo,[a ˌka.ð̞a ˌu.no lo ˈsu.ʒo]
a cada uno lo suyo,[a ˌka.ð̞a ˌu.no lo ˈsu.ʝo]
a cal y canto,/a ˌkal i ˈkanto/
a cal y canto,[a ˌkal i ˈkãn̪.t̪o]
a calzón quitado,/a kalˌson kiˈtado/
a calzón quitado,/a kalˌθon kiˈtado/
a calzón quitado,[a kalˌsõŋ kiˈt̪a.ð̞o]
a calzón quitado,[a kal̟ˌθõŋ kiˈt̪a.ð̞o]
a cambio de,/a ˈkambjo de/
a cambio de,[a ˈkãm.bjo ð̞e]
a campo abierto,/a ˌkampo aˈbjeɾto/
a campo abierto,[a ˌkãm.po aˈβ̞jeɾ.t̪o]
a campo raso,/a ˌkampo ˈraso/
a campo raso,[a ˌkãm.po ˈra.so]
a campo traviesa,/a ˌkampo tɾaˈbjesa/
a campo traviesa,[a ˌkãm.po t̪ɾaˈβ̞je.sa]
a campo travieso,/a ˌkampo tɾaˈbjeso/
a campo travieso,[a ˌkãm.po t̪ɾaˈβ̞je.so]
a campo través,/a ˌkampo tɾaˈbes/
a campo través,[a ˌkãm.po t̪ɾaˈβ̞es]
a capa y espada,/a ˌkapa i esˈpada/
a capa y espada,[a ˌka.pa i esˈpa.ð̞a]
a capela,/a kaˈpela/
a capela,[a kaˈpe.la]
a capella,/a kaˈpela/
a capella,[a kaˈpe.la]
a cappella,/a kaˈpela/
a cappella,[a kaˈpe.la]
a cara de perro,/a ˌkaɾa de ˈpero/
a cara de perro,[a ˌka.ɾa ð̞e ˈpe.ro]
a cara descubierta,/a ˌkaɾa deskuˈbjeɾta/
a cara descubierta,[a ˌka.ɾa ð̞es.kuˈβ̞jeɾ.t̪a]
a cara o cruz,/a ˌkaɾa o ˈkɾus/
a cara o cruz,/a ˌkaɾa o ˈkɾuθ/
a cara o cruz,[a ˌka.ɾa o ˈkɾus]
a cara o cruz,[a ˌka.ɾa o ˈkɾuθ]
a cargo,/a ˈkaɾɡo/
a cargo,[a ˈkaɾ.ɣ̞o]
a cargo de,/a ˈkaɾɡo de/
a cargo de,[a ˈkaɾ.ɣ̞o ð̞e]
a carrera abierta,/a kaˌreɾa aˈbjeɾta/
a carrera abierta,[a kaˌre.ɾa aˈβ̞jeɾ.t̪a]
a carrera tendida,/a kaˌreɾa tenˈdida/
a carrera tendida,[a kaˌre.ɾa t̪ẽn̪ˈd̪i.ð̞a]
a carta cabal,/a ˌkaɾta kaˈbal/
a carta cabal,[a ˌkaɾ.t̪a kaˈβ̞al]
a casa,/a ˈkasa/
a casa,[a ˈka.sa]
a cascoporro,/a ˌkaskoˈporo/
a cascoporro,[a ˌkas.koˈpo.ro]
a causa de,/a ˈkausa de/
a causa de,[a ˈkau̯.sa ð̞e]
a cencerros tapados,/a senˌseros taˈpados/
a cencerros tapados,/a θenˌθeros taˈpados/
a cencerros tapados,[a sẽnˌse.ros t̪aˈpa.ð̞os]
a cencerros tapados,[a θẽn̟ˌθe.ros t̪aˈpa.ð̞os]
a cero,/a ˈseɾo/
a cero,/a ˈθeɾo/
a cero,[a ˈse.ɾo]
a cero,[a ˈθe.ɾo]
a cholón,/a t͡ʃoˈlon/
a cholón,[a t͡ʃoˈlõn]
a ciegas,/a ˈsjeɡas/
a ciegas,/a ˈθjeɡas/
a ciegas,[a ˈsje.ɣ̞as]
a ciegas,[a ˈθje.ɣ̞as]
a cielo abierto,/a ˌsjelo aˈbjeɾto/
a cielo abierto,/a ˌθjelo aˈbjeɾto/
a cielo abierto,[a ˌsje.lo aˈβ̞jeɾ.t̪o]
a cielo abierto,[a ˌθje.lo aˈβ̞jeɾ.t̪o]
a cielo descubierto,/a ˌsjelo deskuˈbjeɾto/
a cielo descubierto,/a ˌθjelo deskuˈbjeɾto/
a cielo descubierto,[a ˌsje.lo ð̞es.kuˈβ̞jeɾ.t̪o]
a cielo descubierto,[a ˌθje.lo ð̞es.kuˈβ̞jeɾ.t̪o]
a ciencia cierta,/a ˌsjensja ˈsjeɾta/
a ciencia cierta,/a ˌθjenθja ˈθjeɾta/
a ciencia cierta,[a ˌsjẽn.sja ˈsjeɾ.t̪a]
a ciencia cierta,[a ˌθjẽn̟.θja ˈθjeɾ.t̪a]
a cobro revertido,/a ˌkobɾo rebeɾˈtido/
a cobro revertido,[a ˌko.β̞ɾo re.β̞eɾˈt̪i.ð̞o]
a competencia,/a kompeˈtensja/
a competencia,/a kompeˈtenθja/
a competencia,[a kõm.peˈt̪ẽn.sja]
a competencia,[a kõm.peˈt̪ẽn̟.θja]
a conciencia,/a konˈsjensja/
a conciencia,/a konˈθjenθja/
a conciencia,[a kõnˈsjẽn.sja]
a conciencia,[a kõn̟ˈθjẽn̟.θja]
a consecuencia de,/a konseˈkwensja de/
a consecuencia de,/a konseˈkwenθja de/
a consecuencia de,[a kõn.seˈkwẽn.sja ð̞e]
a consecuencia de,[a kõn.seˈkwẽn̟.θja ð̞e]
a continuación,/a kontinwaˈsjon/
a continuación,/a kontinwaˈθjon/
a continuación,[a kõn̪.t̪i.nwaˈsjõn]
a continuación,[a kõn̪.t̪i.nwaˈθjõn]
a contracorriente,/a ˌkontɾakoˈrjente/
a contracorriente,[a ˌkõn̪.t̪ɾa.koˈrjẽn̪.t̪e]
a contraluz,/a kontɾaˈlus/
a contraluz,/a kontɾaˈluθ/
a contraluz,[a kõn̪.t̪ɾaˈlus]
a contraluz,[a kõn̪.t̪ɾaˈluθ]
a contrapié,/a kontɾaˈpje/
a contrapié,[a kõn̪.t̪ɾaˈpje]
a contrarreloj,/a kontɾareˈlox/
a contrarreloj,[a kõn̪.t̪ɾa.reˈlox]
a corazón abierto,/a koɾaˌson aˈbjeɾto/
a corazón abierto,/a koɾaˌθon aˈbjeɾto/
a corazón abierto,[a ko.ɾaˌsõn aˈβ̞jeɾ.t̪o]
a corazón abierto,[a ko.ɾaˌθõn aˈβ̞jeɾ.t̪o]
a coro,/a ˈkoɾo/
a coro,[a ˈko.ɾo]
a corto plazo,/a ˌkoɾto ˈplaso/
a corto plazo,/a ˌkoɾto ˈplaθo/
a corto plazo,[a ˌkoɾ.t̪o ˈpla.so]
a corto plazo,[a ˌkoɾ.t̪o ˈpla.θo]
a costa de,/a ˈkosta de/
a costa de,[a ˈkos.t̪a ð̞e]
a crédito,/a ˈkɾedito/
a crédito,[a ˈkɾe.ð̞i.t̪o]
a cuatro patas,/a ˌkwatɾo ˈpatas/
a cuatro patas,[a ˌkwa.t̪ɾo ˈpa.t̪as]
a cuatro pies,/a ˌkwatɾo ˈpjes/
a cuatro pies,[a ˌkwa.t̪ɾo ˈpjes]
a cucucho,/a kuˈkut͡ʃo/
a cucucho,[a kuˈku.t͡ʃo]
a cuenta de,/a ˈkwenta de/
a cuenta de,[a ˈkwẽn̪.t̪a ð̞e]
a cuentagotas,/a ˌkwentaˈɡotas/
a cuentagotas,[a ˌkwẽn̪.t̪aˈɣ̞o.t̪as]
a cuento de qué,/a ˌkwento de ˈke/
a cuento de qué,[a ˌkwẽn̪.t̪o ð̞e ˈke]
a cuerpo de rey,/a ˌkweɾpo de ˈrei/
a cuerpo de rey,[a ˌkweɾ.po ð̞e ˈrei̯]
a cuerpo limpio,/a ˌkweɾpo ˈlimpjo/
a cuerpo limpio,[a ˌkweɾ.po ˈlĩm.pjo]
a cuestas,/a ˈkwestas/
a cuestas,[a ˈkwes.t̪as]
a culumbrón,/a kulumˈbɾon/
a culumbrón,[a ku.lũmˈbɾõn]
a cámara lenta,/a ˌkamaɾa ˈlenta/
a cámara lenta,[a ˌka.ma.ɾa ˈlẽn̪.t̪a]
a decir de,/a deˈsiɾ de/
a decir de,/a deˈθiɾ de/
a decir de,[a ð̞eˈsiɾ ð̞e]
